Time[Seconds]	In:V[Volts]	Out:V[Volts]
 6.11500000000e-007	 5.00000000000e+000	 1.23697116474e-004
 6.13500000000e-007	 5.00000000000e+000	-1.22285141908e-004
 6.15500000000e-007	 5.00000000000e+000	 1.21209635031e-004
 6.17500000000e-007	 5.00000000000e+000	-1.19823285728e-004
 6.19500000000e-007	 5.00000000000e+000	 1.18770167677e-004
 6.21500000000e-007	 5.00000000000e+000	-1.17409009221e-004
 6.23500000000e-007	 5.00000000000e+000	 1.16377892387e-004
 6.25500000000e-007	 5.00000000000e+000	-1.15041471177e-004
 6.27500000000e-007	 5.00000000000e+000	 1.14031973008e-004
 6.29500000000e-007	 5.00000000000e+000	-1.12719842131e-004
 6.31500000000e-007	 5.00000000000e+000	 1.11731585128e-004
 6.33500000000e-007	 5.00000000000e+000	-1.10443304320e-004
 6.35500000000e-007	 5.00000000000e+000	 1.09475916037e-004
 6.37500000000e-007	 5.00000000000e+000	-1.08211051644e-004
 6.39500000000e-007	 5.00000000000e+000	 1.07264164685e-004
 6.41500000000e-007	 5.00000000000e+000	-1.06022289619e-004
 6.43500000000e-007	 5.00000000000e+000	 1.05095541634e-004
 6.45500000000e-007	 5.00000000000e+000	-1.03876235328e-004
 6.47500000000e-007	 5.00000000000e+000	 1.02969269002e-004
 6.49500000000e-007	 5.00000000000e+000	-1.01772117359e-004
 6.51500000000e-007	 5.00000000000e+000	 1.00884580399e-004
 6.53500000000e-007	 5.00000000000e+000	-9.97091757490e-005
 6.55500000000e-007	 5.00000000000e+000	 9.88407208703e-005
 6.57500000000e-007	 5.00000000000e+000	-9.76866619129e-005
 6.59500000000e-007	 5.00000000000e+000	 9.68369468198e-005
 6.61500000000e-007	 5.00000000000e+000	-9.57038385734e-005
 6.63500000000e-007	 5.00000000000e+000	 9.48725259390e-005
 6.65500000000e-007	 5.00000000000e+000	-9.37599796863e-005
 6.67500000000e-007	 5.00000000000e+000	 9.29467371292e-005
 6.69500000000e-007	 5.00000000000e+000	-9.18543703590e-005
 6.71500000000e-007	 5.00000000000e+000	 9.10588704188e-005
 6.73500000000e-007	 5.00000000000e+000	-8.99863067697e-005
 6.75500000000e-007	 5.00000000000e+000	 8.92082268784e-005
 6.77500000000e-007	 5.00000000000e+000	-8.81550960782e-005
 6.79500000000e-007	 5.00000000000e+000	 8.73941185307e-005
 6.81500000000e-007	 5.00000000000e+000	-8.63600563366e-005
 6.83500000000e-007	 5.00000000000e+000	 8.56158682601e-005
 6.85500000000e-007	 5.00000000000e+000	-8.46005163970e-005
 6.87500000000e-007	 5.00000000000e+000	 8.38728097178e-005
 6.89500000000e-007	 5.00000000000e+000	-8.28758158165e-005
 6.91500000000e-007	 5.00000000000e+000	 8.21642872237e-005
 6.93500000000e-007	 5.00000000000e+000	-8.11853047561e-005
 6.95500000000e-007	 5.00000000000e+000	 8.04896556668e-005
 6.97500000000e-007	 5.00000000000e+000	-7.95283438822e-005
 6.99500000000e-007	 5.00000000000e+000	 7.88482804012e-005
 7.00000000000e-007	 5.00000000000e+000	-7.53413501949e-005
 7.00500000000e-007	 4.50000000000e+000	 1.83326800347e-003
 7.02500000000e-007	 2.50000000000e+000	 3.38462645604e-001
 7.04500000000e-007	 5.00000000000e-001	 4.90334962170e+000
 7.05000000000e-007	 1.33226762955e-014	 5.04093778743e+000
 7.05500000000e-007	 0.00000000000e+000	 5.00119379809e+000
 7.07500000000e-007	 0.00000000000e+000	 4.99884093424e+000
 7.09500000000e-007	 0.00000000000e+000	 5.00112335046e+000
 7.11500000000e-007	 0.00000000000e+000	 4.99891076708e+000
 7.13500000000e-007	 0.00000000000e+000	 5.00105556146e+000
 7.15500000000e-007	 0.00000000000e+000	 4.99897647574e+000
 7.17500000000e-007	 0.00000000000e+000	 5.00099178515e+000
 7.19500000000e-007	 0.00000000000e+000	 4.99903829497e+000
 7.21500000000e-007	 0.00000000000e+000	 5.00093179307e+000
 7.23500000000e-007	 0.00000000000e+000	 4.99909644616e+000
 7.25500000000e-007	 0.00000000000e+000	 5.00087536873e+000
 7.27500000000e-007	 0.00000000000e+000	 4.99915113917e+000
 7.29500000000e-007	 0.00000000000e+000	 5.00082230706e+000
